time_key,full_time,hour,minute,second,period,shift
315,00:03:15.0000000,0,3,15,AM,Night
316,00:03:16.0000000,0,3,16,AM,Night
317,00:03:17.0000000,0,3,17,AM,Night
318,00:03:18.0000000,0,3,18,AM,Night
319,00:03:19.0000000,0,3,19,AM,Night
320,00:03:20.0000000,0,3,20,AM,Night
321,00:03:21.0000000,0,3,21,AM,Night
322,00:03:22.0000000,0,3,22,AM,Night
323,00:03:23.0000000,0,3,23,AM,Night
324,00:03:24.0000000,0,3,24,AM,Night
325,00:03:25.0000000,0,3,25,AM,Night
326,00:03:26.0000000,0,3,26,AM,Night
327,00:03:27.0000000,0,3,27,AM,Night
328,00:03:28.0000000,0,3,28,AM,Night
329,00:03:29.0000000,0,3,29,AM,Night
330,00:03:30.0000000,0,3,30,AM,Night
331,00:03:31.0000000,0,3,31,AM,Night
332,00:03:32.0000000,0,3,32,AM,Night
333,00:03:33.0000000,0,3,33,AM,Night
334,00:03:34.0000000,0,3,34,AM,Night
335,00:03:35.0000000,0,3,35,AM,Night
336,00:03:36.0000000,0,3,36,AM,Night
337,00:03:37.0000000,0,3,37,AM,Night
338,00:03:38.0000000,0,3,38,AM,Night
339,00:03:39.0000000,0,3,39,AM,Night
340,00:03:40.0000000,0,3,40,AM,Night
341,00:03:41.0000000,0,3,41,AM,Night
342,00:03:42.0000000,0,3,42,AM,Night
343,00:03:43.0000000,0,3,43,AM,Night
344,00:03:44.0000000,0,3,44,AM,Night
345,00:03:45.0000000,0,3,45,AM,Night
346,00:03:46.0000000,0,3,46,AM,Night
347,00:03:47.0000000,0,3,47,AM,Night
348,00:03:48.0000000,0,3,48,AM,Night
349,00:03:49.0000000,0,3,49,AM,Night
350,00:03:50.0000000,0,3,50,AM,Night
351,00:03:51.0000000,0,3,51,AM,Night
352,00:03:52.0000000,0,3,52,AM,Night
353,00:03:53.0000000,0,3,53,AM,Night
354,00:03:54.0000000,0,3,54,AM,Night
355,00:03:55.0000000,0,3,55,AM,Night
356,00:03:56.0000000,0,3,56,AM,Night
357,00:03:57.0000000,0,3,57,AM,Night
358,00:03:58.0000000,0,3,58,AM,Night
359,00:03:59.0000000,0,3,59,AM,Night
400,00:04:00.0000000,0,4,0,AM,Night
401,00:04:01.0000000,0,4,1,AM,Night
402,00:04:02.0000000,0,4,2,AM,Night
403,00:04:03.0000000,0,4,3,AM,Night
404,00:04:04.0000000,0,4,4,AM,Night
405,00:04:05.0000000,0,4,5,AM,Night
406,00:04:06.0000000,0,4,6,AM,Night
407,00:04:07.0000000,0,4,7,AM,Night
408,00:04:08.0000000,0,4,8,AM,Night
409,00:04:09.0000000,0,4,9,AM,Night
410,00:04:10.0000000,0,4,10,AM,Night
411,00:04:11.0000000,0,4,11,AM,Night
412,00:04:12.0000000,0,4,12,AM,Night
413,00:04:13.0000000,0,4,13,AM,Night
414,00:04:14.0000000,0,4,14,AM,Night
415,00:04:15.0000000,0,4,15,AM,Night
416,00:04:16.0000000,0,4,16,AM,Night
417,00:04:17.0000000,0,4,17,AM,Night
418,00:04:18.0000000,0,4,18,AM,Night
419,00:04:19.0000000,0,4,19,AM,Night
420,00:04:20.0000000,0,4,20,AM,Night
421,00:04:21.0000000,0,4,21,AM,Night
422,00:04:22.0000000,0,4,22,AM,Night
423,00:04:23.0000000,0,4,23,AM,Night
424,00:04:24.0000000,0,4,24,AM,Night
425,00:04:25.0000000,0,4,25,AM,Night
426,00:04:26.0000000,0,4,26,AM,Night
427,00:04:27.0000000,0,4,27,AM,Night
428,00:04:28.0000000,0,4,28,AM,Night
429,00:04:29.0000000,0,4,29,AM,Night
430,00:04:30.0000000,0,4,30,AM,Night
431,00:04:31.0000000,0,4,31,AM,Night
432,00:04:32.0000000,0,4,32,AM,Night
433,00:04:33.0000000,0,4,33,AM,Night
434,00:04:34.0000000,0,4,34,AM,Night
435,00:04:35.0000000,0,4,35,AM,Night
